datetime,SUM,辐照度,湿度,温度,总云量
2022/1/1 0:00,0,0,53.25,-3.32,0
2022/1/1 0:15,0,0,53.25,-3.32,0
2022/1/1 0:30,0,0,53.79,-3.39,0
2022/1/1 0:45,0,0,54.56,-3.49,0
2022/1/1 1:00,0,0,55.44,-3.6,0
2022/1/1 1:15,0,0,56.54,-3.73,0
2022/1/1 1:30,0,0,57.5,-3.86,0
2022/1/1 1:45,0,0,58.03,-3.97,0
2022/1/1 2:00,0,0,58.1,-4.07,0
2022/1/1 2:15,0,0,57.85,-4.18,0
2022/1/1 2:30,0,0,57.82,-4.32,0
2022/1/1 2:45,0,0,57.81,-4.43,0
2022/1/1 3:00,0,0,57.48,-4.49,0
2022/1/1 3:15,0,0,57.09,-4.52,0
2022/1/1 3:30,0,0,56.83,-4.54,0
2022/1/1 3:45,0,0,56.83,-4.58,0
2022/1/1 4:00,0,0,57.28,-4.67,0
2022/1/1 4:15,0,0,57.9,-4.77,0
2022/1/1 4:30,0,0,58.47,-4.85,0
2022/1/1 4:45,0,0,58.87,-4.92,0
2022/1/1 5:00,0,0,59.06,-4.97,0
2022/1/1 5:15,0,0,59.06,-5,0
2022/1/1 5:30,0,0,58.94,-5.01,0
2022/1/1 5:45,0,0,58.65,-4.99,0
2022/1/1 6:00,0,0,58.41,-4.99,0
2022/1/1 6:15,0,0,58.14,-4.98,0
2022/1/1 6:30,0,0,57.76,-4.97,0
2022/1/1 6:45,0,0,57.25,-4.93,0
2022/1/1 7:00,0,0,56.74,-4.89,0
2022/1/1 7:15,0,0,56.41,-4.86,0
2022/1/1 7:30,0,0,56.36,-4.85,0.11
2022/1/1 7:45,1097.515233,9.37,56.57,-4.86,0.2
2022/1/1 8:00,2848.959366,32.96,56.72,-4.81,0.29
2022/1/1 8:15,3463.060087,63.07,56.8,-4.69,0.37
2022/1/1 8:30,4057.993498,98.26,56.48,-4.49,0.36
2022/1/1 8:45,4275.803847,140.72,56.08,-4.23,0.25
2022/1/1 9:00,4947.4065,184.3,56.16,-3.87,0.08
2022/1/1 9:15,5645.146396,221.43,56.06,-3.4,0
2022/1/1 9:30,6662.258494,257.68,55.66,-2.82,0
