datetime,10米风速,10米风向,10米湿度,10米温度,低云量,反射辐射,降雨量,空气质量指数,气压,散射辐射,总辐射,总云量
2022/1/1 0:00,2.01,56.34,53.25,-3.32,0,0,0,-999,1022.7,0,0,0
2022/1/1 0:15,2.01,56.34,53.25,-3.32,0,0,0,-999,1022.7,0,0,0
2022/1/1 0:30,2.02,54,53.79,-3.39,0,0,0,-999,1022.68,0,0,0
2022/1/1 0:45,2.04,51.54,54.56,-3.49,0,0,0,-999,1022.53,0,0,0
2022/1/1 1:00,2.05,49.62,55.44,-3.6,0,0,0,-999,1022.52,0,0,0
2022/1/1 1:15,2.07,49.22,56.54,-3.73,0,0,0,-999,1022.32,0,0,0
2022/1/1 1:30,2.08,51.8,57.5,-3.86,0,0,0,-999,1022.14,0,0,0
2022/1/1 1:45,2.08,56.78,58.03,-3.97,0,0,0,-999,1022.09,0,0,0
2022/1/1 2:00,2.05,62.86,58.1,-4.07,0,0,0,-999,1021.96,0,0,0
2022/1/1 2:15,2,67.48,57.85,-4.18,0,0,0,-999,1021.83,0,0,0
2022/1/1 2:30,1.93,69.7,57.82,-4.32,0,0,0,-999,1021.63,0,0,0
2022/1/1 2:45,1.86,68.08,57.81,-4.43,0,0,0,-999,1021.42,0,0,0
2022/1/1 3:00,1.79,63.74,57.48,-4.49,0,0,0,-999,1021.31,0,0,0
2022/1/1 3:15,1.75,55.62,57.09,-4.52,0,0,0,-999,1021.18,0,0,0
2022/1/1 3:30,1.73,41.34,56.83,-4.54,0,0,0,-999,1021.1,0,0,0
2022/1/1 3:45,1.75,23.33,56.83,-4.58,0,0,0,-999,1021.01,0,0,0
2022/1/1 4:00,1.81,7.23,57.28,-4.67,0,0,0,-999,1020.87,0,0,0
2022/1/1 4:15,1.89,356.7,57.9,-4.77,0,0,0,-999,1020.71,0,0,0
2022/1/1 4:30,1.97,353.05,58.47,-4.85,0,0,0,-999,1020.52,0,0,0
2022/1/1 4:45,2.04,354.73,58.87,-4.92,0,0,0,-999,1020.33,0,0,0
2022/1/1 5:00,2.08,359.7,59.06,-4.97,0,0,0,-999,1020.14,0,0,0
2022/1/1 5:15,2.1,6.58,59.06,-5,0,0,0,-999,1019.92,0,0,0
2022/1/1 5:30,2.08,13.93,58.94,-5.01,0,0,0,-999,1019.71,0,0,0
2022/1/1 5:45,2.04,20.07,58.65,-4.99,0,0,0,-999,1019.83,0,0,0
2022/1/1 6:00,1.98,22.45,58.41,-4.99,0,0,0,-999,1019.79,0,0,0
2022/1/1 6:15,1.91,21.7,58.14,-4.98,0,0,0,-999,1019.75,0,0,0
2022/1/1 6:30,1.83,18.42,57.76,-4.97,0,0,0,-999,1019.68,0,0,0
2022/1/1 6:45,1.75,16.55,57.25,-4.93,0,0,0,-999,1019.66,0,0,0
2022/1/1 7:00,1.67,19.52,56.74,-4.89,0,0,0,-999,1019.75,0,0,0
2022/1/1 7:15,1.57,27.36,56.41,-4.86,0,0,0,-999,1019.81,0,0,0
2022/1/1 7:30,1.46,36.48,56.36,-4.85,0,0,0,-999,1019.87,0,0,0.11
2022/1/1 7:45,1.33,42.33,56.57,-4.86,0,9.16,0,-999,1019.85,0.21,9.37,0.2
2022/1/1 8:00,1.19,42.81,56.72,-4.81,0,27.77,0,-999,1019.81,5.18,32.96,0.29
2022/1/1 8:15,1.04,37.45,56.8,-4.69,0,52.21,0,-999,1019.84,10.86,63.07,0.37
2022/1/1 8:30,0.9,31.51,56.48,-4.49,0,82.24,0,-999,1019.89,16.02,98.26,0.36
2022/1/1 8:45,0.78,21.32,56.08,-4.23,0,119.43,0,-999,1019.98,21.29,140.72,0.25
2022/1/1 9:00,0.68,9.15,56.16,-3.87,0,161.11,0,-999,1020,23.18,184.3,0.08
2022/1/1 9:15,0.62,329.41,56.06,-3.4,0,194.77,0,-999,1020,26.67,221.43,0
2022/1/1 9:30,0.6,318.38,55.66,-2.82,0,227.99,0,-999,1020,29.69,257.68,0
2022/1/1 9:45,0.61,345.92,53.92,-2.36,0,259.82,0,-999,1020.08,32.27,292.08,0
2022/1/1 10:00,0.64,329.79,53.36,-1.95,0,289.54,0,-999,1020.16,34.46,324,0
2022/1/1 10:15,0.66,327.77,52.58,-1.48,0,316.71,0,-999,1020.24,36.31,353.02,0
2022/1/1 10:30,0.67,340.12,50.45,-0.99,0,341.15,0,-999,1020.32,37.9,379.05,0
2022/1/1 10:45,0.66,348.12,49.12,-0.6,0,362.93,0,-999,1020.36,39.25,402.18,0
2022/1/1 11:00,0.64,7.24,47.42,-0.16,0,381.87,0,-999,1020.35,40.39,422.26,0
2022/1/1 11:15,0.61,3.48,45.67,0.31,0,397.83,0,-999,1020.42,41.32,439.15,0
2022/1/1 11:30,0.6,335.19,44.43,0.75,0,410.67,0,-999,1020.51,42.06,452.73,0
2022/1/1 11:45,0.62,298.6,43.41,1.15,0,420.28,0,-999,1020.12,42.61,462.89,0
2022/1/1 12:00,0.67,310.6,42.18,1.55,0,426.59,0,-999,1020,42.97,469.56,0
2022/1/1 12:15,0.75,350.93,40.05,1.95,0,429.53,0,-999,1020.07,43.14,472.66,0
2022/1/1 12:30,0.86,4.35,38.82,2.29,0,429.07,0,-999,1020.18,43.12,472.19,0
2022/1/1 12:45,0.97,7.98,38.35,2.61,0,425.21,0,-999,1020.26,42.91,468.13,0
2022/1/1 13:00,1.06,2.9,37.02,2.83,0,417.99,0,-999,1020.2,42.52,460.51,0
2022/1/1 13:15,1.1,6.74,37.36,3.02,0,407.46,0,-999,1020.16,41.93,449.39,0
2022/1/1 13:30,1.09,33.27,36.85,3.23,0,393.69,0,-999,1020.04,41.15,434.83,0
2022/1/1 13:45,1.04,46.29,36.17,3.43,0,376.78,0,-999,1020.11,40.16,416.94,0
2022/1/1 14:00,0.98,50.88,35.84,3.55,0,356.87,0,-999,1020.21,38.96,395.83,0
2022/1/1 14:15,0.94,63.98,36.06,3.64,0,334.13,0,-999,1020.21,37.54,371.66,0
2022/1/1 14:30,0.99,44.86,36.43,3.73,0,308.74,0,-999,1020.27,35.86,344.6,0
2022/1/1 14:45,1.17,2.13,36.97,3.8,0,280.95,0,-999,1020.81,33.91,314.86,0
2022/1/1 15:00,1.55,354.84,38.57,3.84,0,251.05,0,-999,1021.11,31.62,282.68,0
2022/1/1 15:15,2.17,335.23,40.31,3.86,0,219.46,0,-999,1021.41,28.94,248.4,0
2022/1/1 15:30,3.01,335.74,40.22,3.88,0,186.79,0,-999,1021.41,25.79,212.58,0
2022/1/1 15:45,3.96,343.95,37.76,3.97,0,153.9,0,-999,1021.43,24.09,177.99,0
2022/1/1 16:00,4.93,355.02,36.61,3.78,0,117.56,0,-999,1021.72,20.09,137.65,0
2022/1/1 16:15,5.82,355.27,36.39,3.38,0,81.88,0,-999,1022.02,15.24,97.12,0
2022/1/1 16:30,6.55,342.71,34.27,3.14,0,48.98,0,-999,1022.38,9.43,58.42,0
2022/1/1 16:45,7.04,341.08,34.34,2.79,0,22.61,0,-999,1022.82,3.13,25.74,0
2022/1/1 17:00,7.27,344.75,37.04,1.91,0,0,0,-999,1023.1,0,0,0
2022/1/1 17:15,7.25,344.8,37.42,1.58,0,0,0,-999,1023.41,0,0,0
2022/1/1 17:30,7.03,338.71,37.79,1.35,0,0,0,-999,1023.81,0,0,0
2022/1/1 17:45,6.67,331.97,38.82,0.98,0,0,0,-999,1024.18,0,0,0
2022/1/1 18:00,6.26,329.53,40,0.6,0,0,0,-999,1024.45,0,0,0
2022/1/1 18:15,5.88,328.05,41.08,0.28,0,0,0,-999,1024.66,0,0,0
2022/1/1 18:30,5.53,325.43,42.05,-0.01,0,0,0,-999,1024.91,0,0,0
2022/1/1 18:45,5.18,322.14,42.9,-0.29,0,0,0,-999,1025.14,0,0,0
2022/1/1 19:00,4.88,320.41,43.4,-0.53,0,0,0,-999,1025.41,0,0,0
2022/1/1 19:15,4.62,320.01,43.19,-0.65,0,0,0,-999,1025.65,0,0,0
2022/1/1 19:30,4.42,319.34,42.62,-0.74,0,0,0,-999,1025.83,0,0,0
2022/1/1 19:45,4.25,317.71,41.91,-0.83,0,0,0,-999,1026.01,0,0,0
2022/1/1 20:00,4.13,315.75,41.12,-0.89,0,0,0,-999,1026.16,0,0,0
2022/1/1 20:15,4.04,314.43,40.35,-0.95,0,0,0,-999,1026.32,0,0,0
2022/1/1 20:30,3.97,313.34,39.63,-1,0,0,0,-999,1026.49,0,0,0
2022/1/1 20:45,3.91,311.78,38.91,-1.03,0,0,0,-999,1026.51,0,0,0
