datetime,35kV松林站,110kV松林站,城北站,党庄站,刁窝站,高官庄站,劳动学院,南河站,新业站,徐里营站
2022/1/1 0:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 0:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 0:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 0:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:45,0,0,0,0.01,0,0,0,0,0,0
2022/1/1 5:00,0,0,0,0.07,0,0,0,0,0,0
2022/1/1 5:15,0,0,0,0.09,0,0,0,0,0,0
2022/1/1 5:30,0,0,0,0.05,0,0,0,0,0,0
2022/1/1 5:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 7:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 7:15,0,0,0,0.03,0,0,0,0,0,0
2022/1/1 7:30,0.11,0.11,0.12,0.12,0.05,0.12,0.09,0.09,0.12,0.06
2022/1/1 7:45,0.2,0.2,0.23,0.23,0.14,0.22,0.21,0.21,0.22,0.18
2022/1/1 8:00,0.29,0.29,0.3,0.31,0.21,0.31,0.27,0.27,0.31,0.25
2022/1/1 8:15,0.37,0.37,0.41,0.4,0.3,0.37,0.37,0.37,0.37,0.36
2022/1/1 8:30,0.36,0.36,0.46,0.5,0.4,0.36,0.39,0.39,0.36,0.43
2022/1/1 8:45,0.25,0.25,0.41,0.5,0.43,0.26,0.32,0.32,0.26,0.4
2022/1/1 9:00,0.08,0.08,0.28,0.39,0.34,0.11,0.18,0.18,0.11,0.27
2022/1/1 9:15,0,0,0.11,0.21,0.16,0,0.01,0.01,0,0.09
2022/1/1 9:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 9:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 10:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 10:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 10:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 10:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 11:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 11:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 11:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 11:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 12:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 12:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 12:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 12:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 13:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 13:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 13:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 13:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 14:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 14:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 14:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 14:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 15:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 15:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 15:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 15:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 16:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 16:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 16:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 16:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 6:00,0,0,0.01,0,0,0.01,0,0,0.01,0
2022/1/2 6:15,0.01,0.01,0.03,0,0,0.02,0,0,0.02,0
2022/1/2 6:30,0.02,0.02,0.04,0,0,0.03,0.01,0.01,0.03,0
2022/1/2 6:45,0.02,0.02,0.05,0,0,0.03,0.03,0.03,0.03,0
2022/1/2 7:00,0.02,0.02,0.05,0,0,0.04,0.03,0.03,0.04,0
2022/1/2 7:15,0.01,0.01,0.04,0,0,0.03,0.03,0.03,0.03,0
2022/1/2 7:30,0,0,0.04,0,0,0.03,0.03,0.03,0.03,0
2022/1/2 7:45,0,0,0.05,0,0,0.02,0.03,0.03,0.02,0
2022/1/2 8:00,0,0,0.06,0,0,0.01,0.03,0.03,0.01,0
2022/1/2 8:15,0,0,0.06,0,0,0.01,0.03,0.03,0.01,0
2022/1/2 8:30,0,0,0.06,0,0.01,0.01,0.03,0.03,0.01,0
2022/1/2 8:45,0,0,0.07,0.01,0.03,0.01,0.04,0.04,0.01,0.02
2022/1/2 9:00,0,0,0.09,0.02,0.04,0.02,0.06,0.06,0.02,0.05
2022/1/2 9:15,0.02,0.02,0.12,0.05,0.06,0.04,0.08,0.08,0.04,0.08
2022/1/2 9:30,0.04,0.04,0.15,0.08,0.08,0.05,0.1,0.1,0.05,0.12
2022/1/2 9:45,0.04,0.04,0.17,0.12,0.11,0.06,0.11,0.11,0.06,0.14
2022/1/2 10:00,0.04,0.04,0.18,0.14,0.13,0.06,0.11,0.11,0.06,0.16
2022/1/2 10:15,0.03,0.03,0.18,0.15,0.15,0.05,0.11,0.11,0.05,0.17
2022/1/2 10:30,0.01,0.01,0.17,0.15,0.14,0.03,0.09,0.09,0.03,0.17
2022/1/2 10:45,0.01,0.01,0.15,0.15,0.15,0.02,0.07,0.07,0.02,0.16
2022/1/2 11:00,0.02,0.02,0.13,0.14,0.14,0.02,0.06,0.06,0.02,0.15
2022/1/2 11:15,0.04,0.04,0.12,0.13,0.13,0.04,0.07,0.07,0.04,0.14
2022/1/2 11:30,0.06,0.06,0.13,0.13,0.12,0.06,0.09,0.09,0.06,0.16
2022/1/2 11:45,0.09,0.09,0.15,0.15,0.15,0.09,0.12,0.12,0.09,0.18
2022/1/2 12:00,0.12,0.12,0.18,0.18,0.18,0.12,0.15,0.15,0.12,0.21
2022/1/2 12:15,0.15,0.15,0.21,0.21,0.21,0.15,0.19,0.19,0.15,0.24
2022/1/2 12:30,0.18,0.18,0.25,0.24,0.24,0.18,0.22,0.22,0.18,0.27
2022/1/2 12:45,0.22,0.22,0.29,0.28,0.28,0.21,0.26,0.26,0.21,0.32
2022/1/2 13:00,0.27,0.27,0.33,0.32,0.32,0.25,0.3,0.3,0.25,0.36
2022/1/2 13:15,0.32,0.32,0.36,0.36,0.36,0.29,0.34,0.34,0.29,0.4
2022/1/2 13:30,0.36,0.36,0.4,0.39,0.39,0.33,0.38,0.38,0.33,0.43
2022/1/2 13:45,0.41,0.41,0.45,0.42,0.41,0.38,0.42,0.42,0.38,0.48
