datetime,35kV松林站,110kV松林站,城北站,党庄站,刁窝站,高官庄站,劳动学院,南河站,新业站,徐里营站
2022/1/1 0:00,-3.32,-3.32,-3.17,-4.13,-4.58,-3.25,-3.26,-3.26,-3.25,-4.22
2022/1/1 0:15,-3.32,-3.32,-3.17,-4.13,-4.58,-3.25,-3.26,-3.26,-3.25,-4.22
2022/1/1 0:30,-3.39,-3.39,-3.22,-4.19,-4.64,-3.32,-3.38,-3.38,-3.32,-4.26
2022/1/1 0:45,-3.49,-3.49,-3.29,-4.23,-4.7,-3.44,-3.48,-3.48,-3.44,-4.29
2022/1/1 1:00,-3.6,-3.6,-3.37,-4.27,-4.73,-3.54,-3.55,-3.55,-3.54,-4.34
2022/1/1 1:15,-3.73,-3.73,-3.47,-4.35,-4.78,-3.65,-3.65,-3.65,-3.65,-4.45
2022/1/1 1:30,-3.86,-3.86,-3.56,-4.45,-4.85,-3.75,-3.79,-3.79,-3.75,-4.57
2022/1/1 1:45,-3.97,-3.97,-3.63,-4.55,-4.91,-3.84,-3.93,-3.93,-3.84,-4.69
2022/1/1 2:00,-4.07,-4.07,-3.71,-4.63,-4.94,-3.93,-4.06,-4.06,-3.93,-4.78
2022/1/1 2:15,-4.18,-4.18,-3.8,-4.71,-4.96,-4.03,-4.18,-4.18,-4.03,-4.83
2022/1/1 2:30,-4.32,-4.32,-3.89,-4.79,-5.01,-4.14,-4.29,-4.29,-4.14,-4.88
2022/1/1 2:45,-4.43,-4.43,-3.99,-4.86,-5.08,-4.24,-4.4,-4.4,-4.24,-4.93
2022/1/1 3:00,-4.49,-4.49,-4.07,-4.92,-5.17,-4.3,-4.47,-4.47,-4.3,-4.98
2022/1/1 3:15,-4.52,-4.52,-4.12,-4.95,-5.27,-4.32,-4.49,-4.49,-4.32,-5.01
2022/1/1 3:30,-4.54,-4.54,-4.18,-4.97,-5.36,-4.36,-4.49,-4.49,-4.36,-5.03
2022/1/1 3:45,-4.58,-4.58,-4.28,-5.02,-5.41,-4.42,-4.51,-4.51,-4.42,-5.04
2022/1/1 4:00,-4.67,-4.67,-4.4,-5.18,-5.44,-4.53,-4.56,-4.56,-4.53,-5.09
2022/1/1 4:15,-4.77,-4.77,-4.5,-5.33,-5.48,-4.63,-4.63,-4.63,-4.63,-5.17
2022/1/1 4:30,-4.85,-4.85,-4.59,-5.39,-5.6,-4.7,-4.71,-4.71,-4.7,-5.23
2022/1/1 4:45,-4.92,-4.92,-4.63,-5.37,-5.74,-4.73,-4.79,-4.79,-4.73,-5.24
2022/1/1 5:00,-4.97,-4.97,-4.65,-5.33,-5.84,-4.72,-4.87,-4.87,-4.72,-5.26
2022/1/1 5:15,-5,-5,-4.63,-5.3,-5.87,-4.67,-4.91,-4.91,-4.67,-5.29
2022/1/1 5:30,-5.01,-5.01,-4.6,-5.3,-5.84,-4.61,-4.92,-4.92,-4.61,-5.33
2022/1/1 5:45,-4.99,-4.99,-4.57,-5.31,-5.78,-4.53,-4.9,-4.9,-4.53,-5.36
2022/1/1 6:00,-4.99,-4.99,-4.56,-5.36,-5.74,-4.48,-4.87,-4.87,-4.48,-5.41
2022/1/1 6:15,-4.98,-4.98,-4.57,-5.42,-5.72,-4.46,-4.85,-4.85,-4.46,-5.45
2022/1/1 6:30,-4.97,-4.97,-4.61,-5.49,-5.73,-4.45,-4.86,-4.86,-4.45,-5.48
2022/1/1 6:45,-4.93,-4.93,-4.65,-5.52,-5.76,-4.41,-4.88,-4.88,-4.41,-5.51
2022/1/1 7:00,-4.89,-4.89,-4.66,-5.51,-5.76,-4.4,-4.9,-4.9,-4.4,-5.53
2022/1/1 7:15,-4.86,-4.86,-4.67,-5.52,-5.71,-4.42,-4.9,-4.9,-4.42,-5.53
2022/1/1 7:30,-4.85,-4.85,-4.69,-5.51,-5.68,-4.46,-4.88,-4.88,-4.46,-5.55
2022/1/1 7:45,-4.86,-4.86,-4.7,-5.43,-5.66,-4.51,-4.88,-4.88,-4.51,-5.53
2022/1/1 8:00,-4.81,-4.81,-4.65,-5.23,-5.49,-4.47,-4.82,-4.82,-4.47,-5.37
2022/1/1 8:15,-4.69,-4.69,-4.55,-4.94,-5.2,-4.38,-4.7,-4.7,-4.38,-5.12
2022/1/1 8:30,-4.49,-4.49,-4.37,-4.52,-4.76,-4.21,-4.51,-4.51,-4.21,-4.73
2022/1/1 8:45,-4.23,-4.23,-4.14,-4.13,-4.31,-3.94,-4.33,-4.33,-3.94,-4.3
2022/1/1 9:00,-3.87,-3.87,-3.8,-3.59,-3.68,-3.66,-4,-4,-3.66,-3.72
2022/1/1 9:15,-3.4,-3.4,-3.34,-2.9,-2.89,-3.27,-3.51,-3.51,-3.27,-2.98
2022/1/1 9:30,-2.82,-2.82,-2.8,-2.2,-2.27,-2.76,-2.9,-2.9,-2.76,-2.41
2022/1/1 9:45,-2.36,-2.36,-2.23,-1.71,-1.69,-2.25,-2.35,-2.35,-2.25,-1.88
2022/1/1 10:00,-1.95,-1.95,-1.8,-1.18,-1.16,-1.86,-1.92,-1.92,-1.86,-1.3
2022/1/1 10:15,-1.48,-1.48,-1.35,-0.73,-0.69,-1.46,-1.46,-1.46,-1.46,-0.84
2022/1/1 10:30,-0.99,-0.99,-0.89,-0.27,-0.19,-1,-0.93,-0.93,-1,-0.37
2022/1/1 10:45,-0.6,-0.6,-0.54,0.21,0.33,-0.6,-0.56,-0.56,-0.6,0.1
2022/1/1 11:00,-0.16,-0.16,-0.14,0.64,0.79,-0.16,-0.16,-0.16,-0.16,0.58
2022/1/1 11:15,0.31,0.31,0.27,0.99,1.22,0.27,0.28,0.28,0.27,0.93
2022/1/1 11:30,0.75,0.75,0.65,1.35,1.64,0.69,0.72,0.72,0.69,1.28
2022/1/1 11:45,1.15,1.15,0.99,1.71,2.05,1.08,1.1,1.1,1.08,1.61
2022/1/1 12:00,1.55,1.55,1.27,2.06,2.42,1.47,1.44,1.44,1.47,1.97
2022/1/1 12:15,1.95,1.95,1.58,2.4,2.77,1.85,1.72,1.72,1.85,2.29
2022/1/1 12:30,2.29,2.29,1.88,2.68,3.11,2.15,2,2,2.15,2.58
2022/1/1 12:45,2.61,2.61,2.15,2.89,3.41,2.43,2.27,2.27,2.43,2.86
2022/1/1 13:00,2.83,2.83,2.39,3.13,3.67,2.68,2.51,2.51,2.68,3.07
2022/1/1 13:15,3.02,3.02,2.62,3.36,3.92,2.91,2.72,2.72,2.91,3.26
2022/1/1 13:30,3.23,3.23,2.83,3.61,4.18,3.13,2.96,2.96,3.13,3.43
2022/1/1 13:45,3.43,3.43,3.02,3.83,4.44,3.31,3.13,3.13,3.31,3.59
