datetime,35kV松林站,110kV松林站,城北站,党庄站,刁窝站,高官庄站,劳动学院,南河站,新业站,徐里营站
2022/1/1 0:00,53.25,53.25,52.44,53.4,55.53,52.67,52.98,52.98,52.67,55.87
2022/1/1 0:15,53.25,53.25,52.44,53.4,55.53,52.67,52.98,52.98,52.67,55.87
2022/1/1 0:30,53.79,53.79,52.75,53.39,55.8,53.37,53.95,53.95,53.37,55.64
2022/1/1 0:45,54.56,54.56,52.87,53.18,55.93,54.37,54.64,54.64,54.37,55.39
2022/1/1 1:00,55.44,55.44,52.8,52.91,55.82,55.35,54.81,54.81,55.35,55.28
2022/1/1 1:15,56.54,56.54,52.61,52.8,55.71,56.24,54.84,54.84,56.24,55.36
2022/1/1 1:30,57.5,57.5,52.28,52.79,55.6,56.88,55.02,55.02,56.88,55.57
2022/1/1 1:45,58.03,58.03,51.81,52.83,55.46,57.12,55.16,55.16,57.12,55.81
2022/1/1 2:00,58.1,58.1,51.39,52.85,55.24,57.01,55.18,55.18,57.01,55.95
2022/1/1 2:15,57.85,57.85,51.23,52.9,55.18,56.63,55.23,55.23,56.63,55.89
2022/1/1 2:30,57.82,57.82,51.35,53.06,55.53,56.35,55.38,55.38,56.35,55.84
2022/1/1 2:45,57.81,57.81,51.7,53.28,56.32,56.09,55.6,55.6,56.09,55.89
2022/1/1 3:00,57.48,57.48,52.09,53.58,57.47,55.8,55.7,55.7,55.8,56
2022/1/1 3:15,57.09,57.09,52.32,53.96,58.75,55.47,55.49,55.49,55.47,56.09
2022/1/1 3:30,56.83,56.83,52.62,54.32,59.92,55.29,55.18,55.18,55.29,56.13
2022/1/1 3:45,56.83,56.83,53.23,54.69,60.9,55.42,55.08,55.08,55.42,56.24
2022/1/1 4:00,57.28,57.28,54.01,55.31,61.66,56.03,55.3,55.3,56.03,56.54
2022/1/1 4:15,57.9,57.9,54.72,55.95,62.13,56.69,55.68,55.68,56.69,56.9
2022/1/1 4:30,58.47,58.47,55.21,56.27,62.14,57.16,56.22,56.22,57.16,57.13
2022/1/1 4:45,58.87,58.87,55.4,56.28,61.51,57.36,56.84,56.84,57.36,57.27
2022/1/1 5:00,59.06,59.06,55.32,56.16,60.65,57.25,57.37,57.37,57.25,57.48
2022/1/1 5:15,59.06,59.06,54.99,56.09,60,56.81,57.65,57.65,56.81,57.8
2022/1/1 5:30,58.94,58.94,54.56,56.14,59.65,56.2,57.62,57.62,56.2,58.15
2022/1/1 5:45,58.65,58.65,54.21,56.27,59.46,55.47,57.33,57.33,55.47,58.44
2022/1/1 6:00,58.41,58.41,54.06,56.54,59.43,54.89,57.03,57.03,54.89,58.79
2022/1/1 6:15,58.14,58.14,54.1,56.84,59.47,54.45,56.83,56.83,54.45,59.1
2022/1/1 6:30,57.76,57.76,54.32,57.19,59.52,54.05,56.79,56.79,54.05,59.39
2022/1/1 6:45,57.25,57.25,54.55,57.54,59.55,53.54,56.81,56.81,53.54,59.71
2022/1/1 7:00,56.74,56.74,54.73,57.74,59.45,53.25,56.93,56.93,53.25,59.87
2022/1/1 7:15,56.41,56.41,54.94,57.91,59.22,53.24,56.99,56.99,53.24,59.89
2022/1/1 7:30,56.36,56.36,55.19,58.01,59.09,53.46,57.1,57.1,53.46,59.95
2022/1/1 7:45,56.57,56.57,55.42,57.95,58.95,53.78,57.41,57.41,53.78,59.93
2022/1/1 8:00,56.72,56.72,55.56,57.56,58.31,53.96,57.67,57.67,53.96,59.52
