datetime,35kV松林站,110kV松林站,城北站,党庄站,刁窝站,高官庄站,劳动学院,南河站,新业站,徐里营站
2022/1/1 0:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 0:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 0:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 0:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 1:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 2:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 3:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 4:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 5:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 5:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 5:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 5:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 6:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 7:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 7:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 7:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 7:45,9.37,9.37,9.47,10.46,11.66,8.99,9.77,9.77,8.99,10.61
2022/1/1 8:00,32.96,32.96,32.98,33.99,36.5,32.34,33.74,33.74,32.34,34.89
2022/1/1 8:15,63.07,63.07,62.03,63.63,67.71,62.69,63.59,63.59,62.69,64.81
2022/1/1 8:30,98.26,98.26,94.39,95.46,99.01,97.83,97.45,97.45,97.83,96.64
2022/1/1 8:45,140.72,140.72,130.68,129.46,132.06,139.58,136.79,136.79,139.58,132.87
2022/1/1 9:00,184.3,184.3,179.33,177.74,181.02,183.31,182.83,182.83,183.31,181.81
2022/1/1 9:15,221.43,221.43,216.73,215.13,218.21,220.45,220.09,220.09,220.45,219.2
2022/1/1 9:30,257.68,257.68,253.56,252.15,254.9,256.75,256.58,256.58,256.75,255.96
2022/1/1 9:45,292.08,292.08,288.76,287.71,290.06,291.24,291.32,291.32,291.24,291.05
2022/1/1 10:00,324,324,321.51,320.93,322.87,323.25,323.59,323.59,323.25,323.69
2022/1/1 10:15,353.02,353.02,351.24,351.11,352.67,352.39,352.89,352.89,352.39,353.27
2022/1/1 10:30,379.05,379.05,377.61,377.81,379.04,378.5,379.03,379.03,378.5,379.49
2022/1/1 10:45,402.18,402.18,400.63,400.9,401.88,401.63,402.03,402.03,401.63,402.38
2022/1/1 11:00,422.26,422.26,420.5,420.59,421.45,421.71,421.97,421.97,421.71,422.16
2022/1/1 11:15,439.15,439.15,437.18,437.09,437.84,438.6,438.71,438.71,438.6,438.74
2022/1/1 11:30,452.73,452.73,450.56,450.28,450.94,452.16,452.14,452.14,452.16,452.03
2022/1/1 11:45,462.89,462.89,460.53,460.09,460.65,462.31,462.15,462.15,462.31,461.93
2022/1/1 12:00,469.56,469.56,467.03,466.43,466.9,468.95,468.68,468.68,468.95,468.37
2022/1/1 12:15,472.66,472.66,470.02,469.26,469.65,472.04,471.68,471.68,472.04,471.3
2022/1/1 12:30,472.19,472.19,469.46,468.56,468.85,471.55,471.12,471.12,471.55,470.7
2022/1/1 12:45,468.13,468.13,465.36,464.32,464.51,467.49,467.02,467.02,467.49,466.57
2022/1/1 13:00,460.51,460.51,457.75,456.57,456.65,459.87,459.39,459.39,459.87,458.91
2022/1/1 13:15,449.39,449.39,446.65,445.35,445.33,448.76,448.28,448.28,448.76,447.77
2022/1/1 13:30,434.83,434.83,432.13,430.72,430.61,434.22,433.75,433.75,434.22,433.21
2022/1/1 13:45,416.94,416.94,414.28,412.77,412.58,416.34,415.87,415.87,416.34,415.3
2022/1/1 14:00,395.83,395.83,393.19,391.61,391.36,395.27,394.76,394.76,395.27,394.13
2022/1/1 14:15,371.66,371.66,369.02,367.37,367.07,371.15,370.55,370.55,371.15,369.87
2022/1/1 14:30,344.6,344.6,341.95,340.22,339.89,344.15,343.43,343.43,344.15,342.67
2022/1/1 14:45,314.86,314.86,312.18,310.38,310.02,314.47,313.61,313.61,314.47,312.76
2022/1/1 15:00,282.68,282.68,280,278.1,277.71,282.35,281.35,281.35,282.35,280.41
2022/1/1 15:15,248.4,248.4,245.75,243.76,243.34,248.13,247.02,247.02,248.13,245.98
2022/1/1 15:30,212.58,212.58,210.02,207.94,207.49,212.36,211.18,211.18,212.36,210.07
2022/1/1 15:45,177.99,177.99,175.39,173.03,172.53,177.87,176.36,176.36,177.87,174.99
2022/1/1 16:00,137.65,137.65,135.42,132.87,132.27,137.47,136.32,136.32,137.47,134.96
2022/1/1 16:15,97.12,97.12,95.14,92.56,91.91,96.94,95.95,95.95,96.94,94.68
2022/1/1 16:30,58.42,58.42,56.6,54.24,53.6,58.3,57.28,57.28,58.3,56.15
2022/1/1 16:45,25.74,25.74,24.35,22.67,22.18,25.56,24.81,24.81,25.56,23.98
2022/1/1 17:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 17:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 18:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 19:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 20:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 21:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 22:45,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:00,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:15,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:30,0,0,0,0,0,0,0,0,0,0
2022/1/1 23:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 0:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 1:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 2:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 3:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 4:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 5:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 6:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 6:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 6:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 6:45,0,0,0,0,0,0,0,0,0,0
2022/1/2 7:00,0,0,0,0,0,0,0,0,0,0
2022/1/2 7:15,0,0,0,0,0,0,0,0,0,0
2022/1/2 7:30,0,0,0,0,0,0,0,0,0,0
2022/1/2 7:45,9.87,9.87,10.16,11.39,12.17,9.54,10.39,10.39,9.54,11.23
2022/1/2 8:00,39.48,39.48,39.29,39.61,40.15,39.29,39.51,39.51,39.29,39.84
2022/1/2 8:15,73.26,73.26,73.1,74.07,75.15,72.93,73.52,73.52,72.93,74.25
2022/1/2 8:30,111.96,111.96,111.75,113.1,114.45,111.51,112.34,112.34,111.51,113.32
2022/1/2 8:45,151.99,151.99,151.66,153.21,154.68,151.45,152.42,152.42,151.45,153.5
2022/1/2 9:00,189.01,189.01,184.45,188.54,190.17,188.44,188.23,188.23,188.44,187.91
2022/1/2 9:15,225.06,225.06,218.47,223.33,225.17,224.42,223.73,223.73,224.42,222.39
2022/1/2 9:30,260.08,260.08,251.35,256.72,258.73,259.38,258.28,258.28,259.38,255.53
2022/1/2 9:45,293.45,293.45,282.73,288.16,290.27,292.68,291.3,291.3,292.68,286.84
2022/1/2 10:00,324.65,324.65,312.34,317.37,319.52,323.82,322.35,322.35,323.82,316.06
2022/1/2 10:15,353.38,353.38,339.96,344.23,346.4,352.51,351.07,351.07,352.51,342.96
2022/1/2 10:30,379.35,379.35,365.29,368.53,370.68,378.44,377.03,377.03,378.44,367.3
2022/1/2 10:45,402.16,402.16,387.9,390.01,392.08,401.22,399.78,399.78,401.22,388.78
2022/1/2 11:00,421.45,421.45,407.28,408.35,410.3,420.48,418.85,418.85,420.48,407.06
