datetime,10米风速,10米风向,10米湿度,10米温度,低云量,反射辐射,降雨量,空气质量指数,气压,散射辐射,总辐射,总云量
2022/1/1 0:00,2.61,37.54,53.4,-4.13,0,0,0,-999,1024.2,0,0,0
2022/1/1 0:15,2.61,37.54,53.4,-4.13,0,0,0,-999,1024.2,0,0,0
2022/1/1 0:30,2.6,38.66,53.39,-4.19,0,0,0,-999,1024.22,0,0,0
2022/1/1 0:45,2.56,40.54,53.18,-4.23,0,0,0,-999,1024.11,0,0,0
2022/1/1 1:00,2.51,41.64,52.91,-4.27,0,0,0,-999,1024.08,0,0,0
2022/1/1 1:15,2.46,42.27,52.8,-4.35,0,0,0,-999,1023.85,0,0,0
2022/1/1 1:30,2.4,43.13,52.79,-4.45,0,0,0,-999,1023.67,0,0,0
2022/1/1 1:45,2.33,44.82,52.83,-4.55,0,0,0,-999,1023.57,0,0,0
2022/1/1 2:00,2.27,49.24,52.85,-4.63,0,0,0,-999,1023.44,0,0,0
2022/1/1 2:15,2.2,56.15,52.9,-4.71,0,0,0,-999,1023.32,0,0,0
2022/1/1 2:30,2.12,62.82,53.06,-4.79,0,0,0,-999,1023.12,0,0,0
2022/1/1 2:45,2.04,67,53.28,-4.86,0,0,0,-999,1022.88,0,0,0
2022/1/1 3:00,1.98,68.11,53.58,-4.92,0,0,0,-999,1022.72,0,0,0
2022/1/1 3:15,1.94,65.09,53.96,-4.95,0,0,0,-999,1022.58,0,0,0
2022/1/1 3:30,1.93,55.74,54.32,-4.97,0,0,0,-999,1022.5,0,0,0
2022/1/1 3:45,1.95,35.33,54.69,-5.02,0,0,0,-999,1022.44,0,0,0
2022/1/1 4:00,1.99,8.06,55.31,-5.18,0,0,0,-999,1022.33,0,0,0
2022/1/1 4:15,2.06,353.52,55.95,-5.33,0,0,0,-999,1022.2,0,0,0
2022/1/1 4:30,2.15,351.56,56.27,-5.39,0,0,0,-999,1022.02,0,0,0
2022/1/1 4:45,2.23,356.36,56.28,-5.37,0,0,0,-999,1021.84,0,0,0.01
2022/1/1 5:00,2.31,2.79,56.16,-5.33,0,0,0,-999,1021.65,0,0,0.07
2022/1/1 5:15,2.36,9.87,56.09,-5.3,0,0,0,-999,1021.43,0,0,0.09
2022/1/1 5:30,2.37,18.23,56.14,-5.3,0,0,0,-999,1021.22,0,0,0.05
2022/1/1 5:45,2.35,26.22,56.27,-5.31,0,0,0,-999,1021.29,0,0,0
2022/1/1 6:00,2.31,30.21,56.54,-5.36,0,0,0,-999,1021.22,0,0,0
2022/1/1 6:15,2.24,29.83,56.84,-5.42,0,0,0,-999,1021.17,0,0,0
2022/1/1 6:30,2.15,28.46,57.19,-5.49,0,0,0,-999,1021.11,0,0,0
2022/1/1 6:45,2.05,31.2,57.54,-5.52,0,0,0,-999,1021.06,0,0,0
2022/1/1 7:00,1.93,33.94,57.74,-5.51,0,0,0,-999,1021.13,0,0,0
2022/1/1 7:15,1.82,28.39,57.91,-5.52,0,0,0,-999,1021.23,0,0,0.03
2022/1/1 7:30,1.7,22.79,58.01,-5.51,0,0,0,-999,1021.32,0,0,0.12
2022/1/1 7:45,1.57,26.57,57.95,-5.43,0,10.12,0,-999,1021.28,0.34,10.46,0.23
2022/1/1 8:00,1.44,35.22,57.56,-5.23,0,28.57,0,-999,1021.19,5.43,33.99,0.31
2022/1/1 8:15,1.32,40.94,57.12,-4.94,0,52.68,0,-999,1021.19,10.95,63.63,0.4
2022/1/1 8:30,1.21,38.03,55.62,-4.52,0,80.23,0,-999,1021.25,15.23,95.46,0.5
2022/1/1 8:45,1.13,34.4,54.67,-4.13,0,110.3,0,-999,1021.31,19.16,129.46,0.5
2022/1/1 9:00,1.05,27.65,53.36,-3.59,0,155.11,0,-999,1021.34,22.63,177.74,0.39
2022/1/1 9:15,0.99,12.57,51.73,-2.9,0,188.95,0,-999,1021.33,26.17,215.13,0.21
2022/1/1 9:30,0.93,22.34,50.64,-2.2,0,222.85,0,-999,1021.35,29.3,252.15,0
2022/1/1 9:45,0.89,20.29,49.51,-1.71,0,255.7,0,-999,1021.43,32.01,287.71,0
2022/1/1 10:00,0.86,23.51,49.37,-1.18,0,286.6,0,-999,1021.51,34.33,320.93,0
2022/1/1 10:15,0.85,32.95,49.25,-0.73,0,314.83,0,-999,1021.54,36.28,351.11,0
2022/1/1 10:30,0.84,32.31,48.08,-0.27,0,339.92,0,-999,1021.57,37.89,377.81,0
2022/1/1 10:45,0.85,15.37,46.86,0.21,0,361.68,0,-999,1021.63,39.22,400.9,0
2022/1/1 11:00,0.86,1.35,46.45,0.64,0,380.25,0,-999,1021.73,40.34,420.59,0
2022/1/1 11:15,0.91,0.13,45.97,0.99,0,395.83,0,-999,1021.85,41.25,437.09,0
2022/1/1 11:30,1,6.07,45.14,1.35,0,408.31,0,-999,1021.88,41.97,450.28,0
2022/1/1 11:45,1.1,6.04,44.37,1.71,0,417.59,0,-999,1021.54,42.5,460.09,0
2022/1/1 12:00,1.22,1.21,43.64,2.06,0,423.59,0,-999,1021.47,42.84,466.43,0
2022/1/1 12:15,1.33,351.26,42.48,2.4,0,426.26,0,-999,1021.48,43,469.26,0
2022/1/1 12:30,1.46,344.19,41.24,2.68,0,425.58,0,-999,1021.74,42.97,468.56,0
2022/1/1 12:45,1.62,350.03,40.47,2.89,0,421.56,0,-999,1021.8,42.76,464.32,0
2022/1/1 13:00,1.83,343.74,39.88,3.13,0,414.21,0,-999,1021.63,42.36,456.57,0
2022/1/1 13:15,2.07,328.13,38.92,3.36,0,403.58,0,-999,1021.53,41.77,445.35,0
2022/1/1 13:30,2.42,327.58,37.47,3.61,0,389.74,0,-999,1021.48,40.99,430.72,0
2022/1/1 13:45,2.93,333.11,36.7,3.83,0,372.78,0,-999,1021.6,40,412.77,0
2022/1/1 14:00,3.58,337.47,36.76,4.04,0,352.82,0,-999,1021.82,38.79,391.61,0
2022/1/1 14:15,4.35,343.34,36.04,4.41,0,330.02,0,-999,1021.74,37.35,367.37,0
2022/1/1 14:30,5.18,352.68,32.88,5.07,0,304.56,0,-999,1021.62,35.66,340.22,0
2022/1/1 14:45,6,350.14,29.33,5.61,0,276.7,0,-999,1021.97,33.68,310.38,0
2022/1/1 15:00,6.72,342.71,28.18,5.55,0,246.75,0,-999,1022.22,31.35,278.1,0
