datetime,10米风速,10米风向,10米湿度,10米温度,低云量,反射辐射,降雨量,空气质量指数,气压,散射辐射,总辐射,总云量
2022/1/1 0:00,2.21,54.33,52.98,-3.26,0,0,0,-999,1023.12,0,0,0
2022/1/1 0:15,2.21,54.33,52.98,-3.26,0,0,0,-999,1023.12,0,0,0
2022/1/1 0:30,2.25,51.8,53.95,-3.38,0,0,0,-999,1023.1,0,0,0
2022/1/1 0:45,2.29,49.35,54.64,-3.48,0,0,0,-999,1022.96,0,0,0
2022/1/1 1:00,2.32,49.01,54.81,-3.55,0,0,0,-999,1022.93,0,0,0
2022/1/1 1:15,2.33,50.49,54.84,-3.65,0,0,0,-999,1022.73,0,0,0
2022/1/1 1:30,2.33,52.99,55.02,-3.79,0,0,0,-999,1022.56,0,0,0
2022/1/1 1:45,2.31,56.31,55.16,-3.93,0,0,0,-999,1022.51,0,0,0
2022/1/1 2:00,2.25,60.86,55.18,-4.06,0,0,0,-999,1022.38,0,0,0
2022/1/1 2:15,2.17,64.82,55.23,-4.18,0,0,0,-999,1022.24,0,0,0
2022/1/1 2:30,2.08,66.55,55.38,-4.29,0,0,0,-999,1022.01,0,0,0
2022/1/1 2:45,1.99,65,55.6,-4.4,0,0,0,-999,1021.78,0,0,0
2022/1/1 3:00,1.91,61.45,55.7,-4.47,0,0,0,-999,1021.67,0,0,0
2022/1/1 3:15,1.85,55,55.49,-4.49,0,0,0,-999,1021.55,0,0,0
2022/1/1 3:30,1.83,42.01,55.18,-4.49,0,0,0,-999,1021.48,0,0,0
2022/1/1 3:45,1.84,24.85,55.08,-4.51,0,0,0,-999,1021.41,0,0,0
2022/1/1 4:00,1.89,11.12,55.3,-4.56,0,0,0,-999,1021.26,0,0,0
2022/1/1 4:15,1.96,4.1,55.68,-4.63,0,0,0,-999,1021.09,0,0,0
2022/1/1 4:30,2.03,2.91,56.22,-4.71,0,0,0,-999,1020.9,0,0,0
2022/1/1 4:45,2.1,4.76,56.84,-4.79,0,0,0,-999,1020.72,0,0,0
2022/1/1 5:00,2.14,7.43,57.37,-4.87,0,0,0,-999,1020.52,0,0,0
2022/1/1 5:15,2.14,11.7,57.65,-4.91,0,0,0,-999,1020.3,0,0,0
2022/1/1 5:30,2.11,18.05,57.62,-4.92,0,0,0,-999,1020.1,0,0,0
2022/1/1 5:45,2.05,25.1,57.33,-4.9,0,0,0,-999,1020.21,0,0,0
2022/1/1 6:00,1.97,29.47,57.03,-4.87,0,0,0,-999,1020.17,0,0,0
2022/1/1 6:15,1.86,32.02,56.83,-4.85,0,0,0,-999,1020.12,0,0,0
2022/1/1 6:30,1.76,32.01,56.79,-4.86,0,0,0,-999,1020.04,0,0,0
2022/1/1 6:45,1.64,30,56.81,-4.88,0,0,0,-999,1020.02,0,0,0
2022/1/1 7:00,1.53,29.66,56.93,-4.9,0,0,0,-999,1020.12,0,0,0
2022/1/1 7:15,1.41,33.78,56.99,-4.9,0,0,0,-999,1020.19,0,0,0
2022/1/1 7:30,1.29,43.89,57.1,-4.88,0,0,0,-999,1020.25,0,0,0.09
2022/1/1 7:45,1.16,54.13,57.41,-4.88,0,9.51,0,-999,1020.22,0.26,9.77,0.21
2022/1/1 8:00,1.03,61.49,57.67,-4.82,0,28.4,0,-999,1020.17,5.34,33.74,0.27
2022/1/1 8:15,0.9,65.02,57.76,-4.7,0,52.64,0,-999,1020.19,10.95,63.59,0.37
2022/1/1 8:30,0.79,64.52,57.66,-4.51,0,81.56,0,-999,1020.24,15.89,97.45,0.39
2022/1/1 8:45,0.7,44.56,57.43,-4.33,0,116.09,0,-999,1020.33,20.69,136.79,0.32
2022/1/1 9:00,0.64,0.05,57.54,-4,0,159.7,0,-999,1020.36,23.14,182.83,0.18
2022/1/1 9:15,0.61,331.74,57.31,-3.51,0,193.46,0,-999,1020.36,26.63,220.09,0.01
2022/1/1 9:30,0.61,336.87,56.75,-2.9,0,226.91,0,-999,1020.36,29.68,256.58,0
2022/1/1 9:45,0.64,25.2,54.8,-2.35,0,259.04,0,-999,1020.42,32.28,291.32,0
2022/1/1 10:00,0.66,17.5,54.19,-1.92,0,289.1,0,-999,1020.51,34.49,323.59,0
2022/1/1 10:15,0.68,359.73,53.49,-1.46,0,316.53,0,-999,1020.58,36.36,352.89,0
2022/1/1 10:30,0.68,343.92,52.22,-0.93,0,341.09,0,-999,1020.66,37.94,379.03,0
2022/1/1 10:45,0.67,333.18,50.93,-0.56,0,362.74,0,-999,1020.74,39.29,402.03,0
2022/1/1 11:00,0.67,321.53,49.57,-0.16,0,381.55,0,-999,1020.76,40.42,421.97,0
2022/1/1 11:15,0.69,323.31,47.51,0.28,0,397.37,0,-999,1020.8,41.34,438.71,0
2022/1/1 11:30,0.73,332.18,46.22,0.72,0,410.06,0,-999,1020.88,42.07,452.14,0
2022/1/1 11:45,0.8,321.55,44.8,1.1,0,419.54,0,-999,1020.49,42.61,462.15,0
2022/1/1 12:00,0.89,347.52,41.9,1.44,0,425.72,0,-999,1020.48,42.96,468.68,0
2022/1/1 12:15,0.99,1.27,41.49,1.72,0,428.55,0,-999,1020.52,43.13,471.68,0
2022/1/1 12:30,1.1,8.23,40.96,2,0,428.02,0,-999,1020.65,43.11,471.12,0
2022/1/1 12:45,1.2,3.84,40.27,2.27,0,424.12,0,-999,1020.71,42.9,467.02,0
2022/1/1 13:00,1.29,5.61,39.58,2.51,0,416.89,0,-999,1020.64,42.5,459.39,0
2022/1/1 13:15,1.38,9.87,38.85,2.72,0,406.36,0,-999,1020.6,41.92,448.28,0
2022/1/1 13:30,1.44,24.24,38.04,2.96,0,392.61,0,-999,1020.54,41.14,433.75,0
2022/1/1 13:45,1.5,34.17,38.02,3.13,0,375.72,0,-999,1020.56,40.15,415.87,0
2022/1/1 14:00,1.56,34.52,37.64,3.32,0,355.8,0,-999,1020.62,38.95,394.76,0
2022/1/1 14:15,1.61,38.26,37.76,3.5,0,333.03,0,-999,1020.57,37.52,370.55,0
2022/1/1 14:30,1.66,44.21,38.23,3.67,0,307.6,0,-999,1020.56,35.83,343.43,0
2022/1/1 14:45,1.78,26.5,38.67,3.88,0,279.75,0,-999,1021.07,33.86,313.61,0
2022/1/1 15:00,2.05,328.56,39.67,4.03,0,249.79,0,-999,1021.48,31.56,281.35,0
2022/1/1 15:15,2.46,299.2,42.26,3.95,0,218.16,0,-999,1021.76,28.86,247.02,0
2022/1/1 15:30,2.97,294.78,43.96,3.68,0,185.48,0,-999,1021.83,25.69,211.18,0
