datetime,10米风速,10米风向,10米湿度,10米温度,低云量,反射辐射,降雨量,空气质量指数,气压,散射辐射,总辐射,总云量
2022/1/1 0:00,2.06,53.66,52.44,-3.17,0,0,0,-999,1023.51,0,0,0
2022/1/1 0:15,2.06,53.66,52.44,-3.17,0,0,0,-999,1023.51,0,0,0
2022/1/1 0:30,2.13,52.29,52.75,-3.22,0,0,0,-999,1023.49,0,0,0
2022/1/1 0:45,2.19,51.19,52.87,-3.29,0,0,0,-999,1023.36,0,0,0
2022/1/1 1:00,2.25,50.42,52.8,-3.37,0,0,0,-999,1023.33,0,0,0
2022/1/1 1:15,2.29,49.87,52.61,-3.47,0,0,0,-999,1023.11,0,0,0
2022/1/1 1:30,2.31,51.13,52.28,-3.56,0,0,0,-999,1022.93,0,0,0
2022/1/1 1:45,2.31,55.07,51.81,-3.63,0,0,0,-999,1022.87,0,0,0
2022/1/1 2:00,2.27,60.29,51.39,-3.71,0,0,0,-999,1022.74,0,0,0
2022/1/1 2:15,2.2,64.31,51.23,-3.8,0,0,0,-999,1022.6,0,0,0
2022/1/1 2:30,2.11,65.73,51.35,-3.89,0,0,0,-999,1022.38,0,0,0
2022/1/1 2:45,2.01,64.07,51.7,-3.99,0,0,0,-999,1022.15,0,0,0
2022/1/1 3:00,1.92,59.99,52.09,-4.07,0,0,0,-999,1022.03,0,0,0
2022/1/1 3:15,1.84,51.17,52.32,-4.12,0,0,0,-999,1021.93,0,0,0
2022/1/1 3:30,1.8,36.58,52.62,-4.18,0,0,0,-999,1021.88,0,0,0
2022/1/1 3:45,1.79,21.18,53.23,-4.28,0,0,0,-999,1021.82,0,0,0
2022/1/1 4:00,1.8,12.23,54.01,-4.4,0,0,0,-999,1021.67,0,0,0
2022/1/1 4:15,1.83,8.62,54.72,-4.5,0,0,0,-999,1021.51,0,0,0
2022/1/1 4:30,1.86,8.75,55.21,-4.59,0,0,0,-999,1021.31,0,0,0
2022/1/1 4:45,1.88,9.94,55.4,-4.63,0,0,0,-999,1021.12,0,0,0
2022/1/1 5:00,1.88,11.92,55.32,-4.65,0,0,0,-999,1020.92,0,0,0
2022/1/1 5:15,1.85,16.98,54.99,-4.63,0,0,0,-999,1020.68,0,0,0
2022/1/1 5:30,1.8,24.25,54.56,-4.6,0,0,0,-999,1020.48,0,0,0
