datetime,10米风速,10米风向,10米湿度,10米温度,低云量,反射辐射,降雨量,空气质量指数,气压,散射辐射,总辐射,总云量
2022/1/1 0:00,2.37,41.17,55.87,-4.22,0,0,0,-999,1023.98,0,0,0
2022/1/1 0:15,2.37,41.17,55.87,-4.22,0,0,0,-999,1023.98,0,0,0
2022/1/1 0:30,2.41,39.27,55.64,-4.26,0,0,0,-999,1023.97,0,0,0
2022/1/1 0:45,2.42,38.31,55.39,-4.29,0,0,0,-999,1023.84,0,0,0
2022/1/1 1:00,2.42,40.44,55.28,-4.34,0,0,0,-999,1023.81,0,0,0
2022/1/1 1:15,2.39,44.65,55.36,-4.45,0,0,0,-999,1023.58,0,0,0
2022/1/1 1:30,2.34,47.33,55.57,-4.57,0,0,0,-999,1023.41,0,0,0
2022/1/1 1:45,2.28,48.59,55.81,-4.69,0,0,0,-999,1023.36,0,0,0
2022/1/1 2:00,2.2,52.15,55.95,-4.78,0,0,0,-999,1023.25,0,0,0
2022/1/1 2:15,2.11,56.59,55.89,-4.83,0,0,0,-999,1023.11,0,0,0
2022/1/1 2:30,2.02,58.59,55.84,-4.88,0,0,0,-999,1022.87,0,0,0
2022/1/1 2:45,1.94,58.29,55.89,-4.93,0,0,0,-999,1022.61,0,0,0
2022/1/1 3:00,1.87,56.59,56,-4.98,0,0,0,-999,1022.47,0,0,0
2022/1/1 3:15,1.83,52.62,56.09,-5.01,0,0,0,-999,1022.34,0,0,0
2022/1/1 3:30,1.82,44.96,56.13,-5.03,0,0,0,-999,1022.28,0,0,0
2022/1/1 3:45,1.83,33.43,56.24,-5.04,0,0,0,-999,1022.2,0,0,0
2022/1/1 4:00,1.87,18.25,56.54,-5.09,0,0,0,-999,1022.06,0,0,0
2022/1/1 4:15,1.93,5.26,56.9,-5.17,0,0,0,-999,1021.9,0,0,0
2022/1/1 4:30,2,358.82,57.13,-5.23,0,0,0,-999,1021.72,0,0,0
2022/1/1 4:45,2.08,358.77,57.27,-5.24,0,0,0,-999,1021.55,0,0,0
2022/1/1 5:00,2.14,1.72,57.48,-5.26,0,0,0,-999,1021.35,0,0,0
2022/1/1 5:15,2.17,6.75,57.8,-5.29,0,0,0,-999,1021.14,0,0,0
2022/1/1 5:30,2.18,13.7,58.15,-5.33,0,0,0,-999,1020.94,0,0,0
2022/1/1 5:45,2.16,21.29,58.44,-5.36,0,0,0,-999,1021.03,0,0,0
2022/1/1 6:00,2.12,25.47,58.79,-5.41,0,0,0,-999,1020.99,0,0,0
2022/1/1 6:15,2.06,26.85,59.1,-5.45,0,0,0,-999,1020.95,0,0,0
2022/1/1 6:30,1.99,28.37,59.39,-5.48,0,0,0,-999,1020.87,0,0,0
2022/1/1 6:45,1.91,31.55,59.71,-5.51,0,0,0,-999,1020.83,0,0,0
2022/1/1 7:00,1.81,32.79,59.87,-5.53,0,0,0,-999,1020.9,0,0,0
2022/1/1 7:15,1.71,29.17,59.89,-5.53,0,0,0,-999,1020.98,0,0,0
2022/1/1 7:30,1.6,27.06,59.95,-5.55,0,0,0,-999,1021.06,0,0,0.06
2022/1/1 7:45,1.46,31.63,59.93,-5.53,0,10.27,0,-999,1021.04,0.34,10.61,0.18
2022/1/1 8:00,1.31,40.58,59.52,-5.37,0,29.32,0,-999,1020.97,5.57,34.89,0.25
2022/1/1 8:15,1.18,47.99,59.03,-5.12,0,53.65,0,-999,1020.98,11.16,64.81,0.36
2022/1/1 8:30,1.06,50.76,57.64,-4.73,0,80.92,0,-999,1021.03,15.73,96.64,0.43
2022/1/1 8:45,0.97,47.84,56.57,-4.3,0,112.82,0,-999,1021.1,20.06,132.87,0.4
2022/1/1 9:00,0.91,31.22,54.98,-3.72,0,158.76,0,-999,1021.12,23.05,181.81,0.27
2022/1/1 9:15,0.9,0.6,53.08,-2.98,0,192.65,0,-999,1021.11,26.55,219.2,0.09
2022/1/1 9:30,0.9,11.19,52.12,-2.41,0,226.35,0,-999,1021.15,29.61,255.96,0
2022/1/1 9:45,0.92,8.39,50.61,-1.88,0,258.81,0,-999,1021.22,32.24,291.05,0
2022/1/1 10:00,0.95,15.2,49.71,-1.3,0,289.2,0,-999,1021.29,34.49,323.69,0
2022/1/1 10:15,0.98,20.37,49.94,-0.84,0,316.89,0,-999,1021.34,36.38,353.27,0
2022/1/1 10:30,0.99,16.99,48.72,-0.37,0,341.53,0,-999,1021.38,37.96,379.49,0
2022/1/1 10:45,0.99,355.84,47.46,0.1,0,363.08,0,-999,1021.44,39.29,402.38,0
2022/1/1 11:00,1,322.49,46.27,0.58,0,381.75,0,-999,1021.51,40.41,422.16,0
2022/1/1 11:15,1.02,325.38,45.17,0.93,0,397.42,0,-999,1021.61,41.32,438.74,0
2022/1/1 11:30,1.07,336.8,44.03,1.28,0,409.99,0,-999,1021.68,42.04,452.03,0
2022/1/1 11:45,1.16,347.77,42.95,1.61,0,419.35,0,-999,1021.26,42.57,461.93,0
2022/1/1 12:00,1.28,343.96,41.76,1.97,0,425.45,0,-999,1021.24,42.92,468.37,0
2022/1/1 12:15,1.42,338.46,39.06,2.29,0,428.22,0,-999,1021.32,43.08,471.3,0
2022/1/1 12:30,1.56,343.62,37.81,2.58,0,427.64,0,-999,1021.44,43.06,470.7,0
2022/1/1 12:45,1.69,352.44,36.78,2.86,0,423.71,0,-999,1021.48,42.86,466.57,0
2022/1/1 13:00,1.83,357.34,34.9,3.07,0,416.45,0,-999,1021.41,42.46,458.91,0
2022/1/1 13:15,1.99,356.17,34.51,3.26,0,405.89,0,-999,1021.35,41.88,447.77,0
2022/1/1 13:30,2.19,350.26,34.37,3.43,0,392.11,0,-999,1021.28,41.1,433.21,0
2022/1/1 13:45,2.45,350.31,33.67,3.59,0,375.18,0,-999,1021.32,40.12,415.3,0
2022/1/1 14:00,2.79,354.71,33.09,3.81,0,355.22,0,-999,1021.45,38.91,394.13,0
2022/1/1 14:15,3.2,7.01,34.36,4,0,332.39,0,-999,1021.47,37.48,369.87,0
2022/1/1 14:30,3.63,22.47,35.42,4.36,0,306.88,0,-999,1021.39,35.79,342.67,0
2022/1/1 14:45,4.06,26.29,34.16,4.93,0,278.95,0,-999,1021.68,33.81,312.76,0
2022/1/1 15:00,4.47,18.59,32.01,5.39,0,248.92,0,-999,1021.92,31.49,280.41,0
2022/1/1 15:15,4.84,4.48,30.46,5.62,0,217.21,0,-999,1022.21,28.77,245.98,0
2022/1/1 15:30,5.12,349.36,31.59,5.44,0,184.49,0,-999,1022.45,25.59,210.07,0
2022/1/1 15:45,5.32,341.21,34.37,4.85,0,151.16,0,-999,1022.71,23.82,174.99,0
2022/1/1 16:00,5.43,343.8,34.92,4.28,0,115.14,0,-999,1023.09,19.82,134.96,0
2022/1/1 16:15,5.45,348.32,32.68,3.76,0,79.74,0,-999,1023.48,14.93,94.68,0
2022/1/1 16:30,5.41,349.29,32.78,3.03,0,47.1,0,-999,1023.85,9.05,56.15,0
2022/1/1 16:45,5.31,347.88,34.14,2.2,0,21.22,0,-999,1024.11,2.75,23.98,0
2022/1/1 17:00,5.17,347.76,35.33,1.41,0,0,0,-999,1024.32,0,0,0
2022/1/1 17:15,4.99,349.18,36.72,0.9,0,0,0,-999,1024.64,0,0,0
2022/1/1 17:30,4.77,351.47,38.08,0.44,0,0,0,-999,1024.98,0,0,0
2022/1/1 17:45,4.53,352.08,38.98,0.07,0,0,0,-999,1025.26,0,0,0
2022/1/1 18:00,4.31,351.45,39.43,-0.2,0,0,0,-999,1025.55,0,0,0
2022/1/1 18:15,4.13,350.23,39.61,-0.41,0,0,0,-999,1025.78,0,0,0
2022/1/1 18:30,3.98,347.17,39.41,-0.52,0,0,0,-999,1026.05,0,0,0
2022/1/1 18:45,3.86,343.71,39.35,-0.66,0,0,0,-999,1026.33,0,0,0
2022/1/1 19:00,3.76,341.39,39.44,-0.81,0,0,0,-999,1026.63,0,0,0
2022/1/1 19:15,3.67,339.95,39.41,-0.94,0,0,0,-999,1026.9,0,0,0
2022/1/1 19:30,3.58,339.84,39.09,-1.04,0,0,0,-999,1027.12,0,0,0
2022/1/1 19:45,3.48,340.78,38.74,-1.15,0,0,0,-999,1027.31,0,0,0
2022/1/1 20:00,3.36,341.32,38.48,-1.28,0,0,0,-999,1027.49,0,0,0
2022/1/1 20:15,3.22,341.33,38.28,-1.39,0,0,0,-999,1027.67,0,0,0
2022/1/1 20:30,3.05,342.23,38.07,-1.48,0,0,0,-999,1027.83,0,0,0
2022/1/1 20:45,2.84,346.77,37.87,-1.56,0,0,0,-999,1027.86,0,0,0
2022/1/1 21:00,2.61,353.41,37.94,-1.67,0,0,0,-999,1027.94,0,0,0
2022/1/1 21:15,2.37,0.15,38.43,-1.84,0,0,0,-999,1028.03,0,0,0
2022/1/1 21:30,2.13,5.47,39.01,-2.03,0,0,0,-999,1028.17,0,0,0
2022/1/1 21:45,1.91,5.99,39.17,-2.1,0,0,0,-999,1028.32,0,0,0
2022/1/1 22:00,1.73,7.04,39.22,-2.12,0,0,0,-999,1028.44,0,0,0
2022/1/1 22:15,1.59,11.03,39.46,-2.19,0,0,0,-999,1028.58,0,0,0
2022/1/1 22:30,1.52,23.58,39.96,-2.33,0,0,0,-999,1028.74,0,0,0
2022/1/1 22:45,1.5,36.68,40.48,-2.52,0,0,0,-999,1028.92,0,0,0
2022/1/1 23:00,1.54,46.17,40.76,-2.68,0,0,0,-999,1029.09,0,0,0
2022/1/1 23:15,1.62,53.77,40.92,-2.8,0,0,0,-999,1029.21,0,0,0
2022/1/1 23:30,1.73,61.21,41.28,-2.95,0,0,0,-999,1029.3,0,0,0
2022/1/1 23:45,1.84,67.44,41.9,-3.16,0,0,0,-999,1029.26,0,0,0
2022/1/2 0:00,5.82,56.3,34.22,-2.2,0,0,0,-999,1028.52,0,0,0
2022/1/2 0:15,5.82,56.3,34.22,-2.2,0,0,0,-999,1028.52,0,0,0
2022/1/2 0:30,5.53,65.3,34.13,-2.59,0,0,0,-999,1028.56,0,0,0
2022/1/2 0:45,5.24,74.15,34.32,-3.03,0,0,0,-999,1028.69,0,0,0
2022/1/2 1:00,4.98,78.97,34.53,-3.28,0,0,0,-999,1028.87,0,0,0
2022/1/2 1:15,4.75,79.28,34.99,-3.37,0,0,0,-999,1028.84,0,0,0
2022/1/2 1:30,4.56,78.75,35.79,-3.46,0,0,0,-999,1028.81,0,0,0
2022/1/2 1:45,4.37,78.19,36.9,-3.61,0,0,0,-999,1028.76,0,0,0
2022/1/2 2:00,4.18,77.64,38.11,-3.78,0,0,0,-999,1028.86,0,0,0
2022/1/2 2:15,3.98,76.84,39.35,-3.96,0,0,0,-999,1028.97,0,0,0
2022/1/2 2:30,3.76,77.18,40.52,-4.12,0,0,0,-999,1029.01,0,0,0
2022/1/2 2:45,3.52,78.02,41.62,-4.27,0,0,0,-999,1029,0,0,0
2022/1/2 3:00,3.25,78.33,42.67,-4.43,0,0,0,-999,1029.02,0,0,0
2022/1/2 3:15,2.95,81.16,43.57,-4.56,0,0,0,-999,1029.12,0,0,0
