datetime,10米风速,10米风向,10米湿度,10米温度,低云量,反射辐射,降雨量,空气质量指数,气压,散射辐射,总辐射,总云量
2022/1/1 0:00,1.96,54.44,52.67,-3.25,0,0,0,-999,1021.86,0,0,0
2022/1/1 0:15,1.96,54.44,52.67,-3.25,0,0,0,-999,1021.86,0,0,0
2022/1/1 0:30,1.98,52.07,53.37,-3.32,0,0,0,-999,1021.85,0,0,0
2022/1/1 0:45,2,49.05,54.37,-3.44,0,0,0,-999,1021.71,0,0,0
2022/1/1 1:00,2.02,45.93,55.35,-3.54,0,0,0,-999,1021.69,0,0,0
2022/1/1 1:15,2.04,45.36,56.24,-3.65,0,0,0,-999,1021.48,0,0,0
2022/1/1 1:30,2.06,49.4,56.88,-3.75,0,0,0,-999,1021.3,0,0,0
2022/1/1 1:45,2.07,57.47,57.12,-3.84,0,0,0,-999,1021.23,0,0,0
2022/1/1 2:00,2.06,66.12,57.01,-3.93,0,0,0,-999,1021.1,0,0,0
2022/1/1 2:15,2.03,70.67,56.63,-4.03,0,0,0,-999,1020.97,0,0,0
2022/1/1 2:30,1.97,71.55,56.35,-4.14,0,0,0,-999,1020.78,0,0,0
2022/1/1 2:45,1.91,69.33,56.09,-4.24,0,0,0,-999,1020.57,0,0,0
2022/1/1 3:00,1.86,65.13,55.8,-4.3,0,0,0,-999,1020.47,0,0,0
2022/1/1 3:15,1.82,56.96,55.47,-4.32,0,0,0,-999,1020.35,0,0,0
2022/1/1 3:30,1.82,41.72,55.29,-4.36,0,0,0,-999,1020.28,0,0,0
2022/1/1 3:45,1.84,24.36,55.42,-4.42,0,0,0,-999,1020.2,0,0,0
2022/1/1 4:00,1.9,11.39,56.03,-4.53,0,0,0,-999,1020.06,0,0,0
2022/1/1 4:15,1.97,4.54,56.69,-4.63,0,0,0,-999,1019.9,0,0,0
2022/1/1 4:30,2.05,2.64,57.16,-4.7,0,0,0,-999,1019.71,0,0,0
2022/1/1 4:45,2.12,3.3,57.36,-4.73,0,0,0,-999,1019.51,0,0,0
2022/1/1 5:00,2.15,4.78,57.25,-4.72,0,0,0,-999,1019.3,0,0,0
2022/1/1 5:15,2.16,7.74,56.81,-4.67,0,0,0,-999,1019.07,0,0,0
2022/1/1 5:30,2.14,12.06,56.2,-4.61,0,0,0,-999,1018.86,0,0,0
2022/1/1 5:45,2.09,15.31,55.47,-4.53,0,0,0,-999,1018.98,0,0,0
2022/1/1 6:00,2.02,15.95,54.89,-4.48,0,0,0,-999,1018.94,0,0,0
2022/1/1 6:15,1.95,14.76,54.45,-4.46,0,0,0,-999,1018.91,0,0,0
2022/1/1 6:30,1.86,12.8,54.05,-4.45,0,0,0,-999,1018.84,0,0,0
2022/1/1 6:45,1.76,14.24,53.54,-4.41,0,0,0,-999,1018.82,0,0,0
2022/1/1 7:00,1.65,20.93,53.25,-4.4,0,0,0,-999,1018.9,0,0,0
2022/1/1 7:15,1.53,31.39,53.24,-4.42,0,0,0,-999,1018.96,0,0,0
2022/1/1 7:30,1.41,40.37,53.46,-4.46,0,0,0,-999,1019.02,0,0,0.12
2022/1/1 7:45,1.28,44.11,53.78,-4.51,0,8.81,0,-999,1019,0.18,8.99,0.22
2022/1/1 8:00,1.14,41.1,53.96,-4.47,0,27.27,0,-999,1018.96,5.08,32.34,0.31
2022/1/1 8:15,1.01,33.92,54.13,-4.38,0,51.88,0,-999,1018.98,10.81,62.69,0.37
2022/1/1 8:30,0.88,32.7,54.32,-4.21,0,81.85,0,-999,1019.03,15.98,97.83,0.36
2022/1/1 8:45,0.76,32.36,53.68,-3.94,0,118.43,0,-999,1019.11,21.15,139.58,0.26
2022/1/1 9:00,0.65,28.04,53.94,-3.66,0,160.17,0,-999,1019.14,23.14,183.31,0.11
2022/1/1 9:15,0.58,7.89,54.22,-3.27,0,193.82,0,-999,1019.14,26.63,220.45,0
2022/1/1 9:30,0.53,329.35,54.34,-2.76,0,227.08,0,-999,1019.16,29.67,256.75,0
2022/1/1 9:45,0.5,4.58,52.89,-2.25,0,258.98,0,-999,1019.24,32.26,291.24,0
2022/1/1 10:00,0.47,353.77,52.01,-1.86,0,288.8,0,-999,1019.31,34.46,323.25,0
2022/1/1 10:15,0.45,316.86,51.47,-1.46,0,316.07,0,-999,1019.41,36.32,352.39,0
2022/1/1 10:30,0.43,332.92,49.01,-1,0,340.58,0,-999,1019.5,37.92,378.5,0
2022/1/1 10:45,0.41,355.48,47.33,-0.6,0,362.36,0,-999,1019.51,39.28,401.63,0
2022/1/1 11:00,0.38,35.96,45.72,-0.16,0,381.3,0,-999,1019.49,40.42,421.71,0
2022/1/1 11:15,0.35,297.08,44.45,0.27,0,397.24,0,-999,1019.58,41.35,438.6,0
2022/1/1 11:30,0.35,256.65,43.71,0.69,0,410.07,0,-999,1019.66,42.09,452.16,0
2022/1/1 11:45,0.38,223.78,42.89,1.08,0,419.67,0,-999,1019.27,42.64,462.31,0
2022/1/1 12:00,0.43,334.51,42.36,1.47,0,425.96,0,-999,1019.21,43,468.95,0
2022/1/1 12:15,0.52,4.75,40.54,1.85,0,428.88,0,-999,1019.26,43.16,472.04,0
2022/1/1 12:30,0.64,15.02,38.22,2.15,0,428.41,0,-999,1019.39,43.14,471.55,0
2022/1/1 12:45,0.77,24.15,38.13,2.43,0,424.55,0,-999,1019.45,42.94,467.49,0
2022/1/1 13:00,0.88,17.81,38.23,2.68,0,417.33,0,-999,1019.4,42.54,459.87,0
2022/1/1 13:15,0.96,37.19,38.12,2.91,0,406.81,0,-999,1019.3,41.95,448.76,0
2022/1/1 13:30,0.99,52.43,37.41,3.13,0,393.05,0,-999,1019.23,41.16,434.22,0
2022/1/1 13:45,0.96,54.94,36.64,3.31,0,376.17,0,-999,1019.28,40.18,416.34,0
2022/1/1 14:00,0.95,65.78,36.95,3.43,0,356.29,0,-999,1019.35,38.98,395.27,0
2022/1/1 14:15,1.03,84.13,37.62,3.53,0,333.6,0,-999,1019.36,37.55,371.15,0
2022/1/1 14:30,1.28,56.58,38.37,3.6,0,308.27,0,-999,1019.47,35.88,344.15,0
2022/1/1 14:45,1.73,337.76,39.41,3.72,0,280.55,0,-999,1019.97,33.93,314.47,0
2022/1/1 15:00,2.4,336.91,39.96,3.89,0,250.71,0,-999,1020.29,31.64,282.35,0
2022/1/1 15:15,3.27,336.4,37.83,4.28,0,219.17,0,-999,1020.5,28.96,248.13,0
2022/1/1 15:30,4.22,344.7,34.87,4.56,0,186.55,0,-999,1020.45,25.81,212.36,0
2022/1/1 15:45,5.15,352.98,33.39,4.5,0,153.77,0,-999,1020.5,24.1,177.87,0
2022/1/1 16:00,5.94,354.81,34.08,4.02,0,117.39,0,-999,1020.81,20.08,137.47,0
2022/1/1 16:15,6.52,342.63,34.33,3.5,0,81.71,0,-999,1021.23,15.23,96.94,0
2022/1/1 16:30,6.83,333.9,34.01,3.12,0,48.89,0,-999,1021.8,9.42,58.3,0
2022/1/1 16:45,6.86,334.7,36.43,2.31,0,22.46,0,-999,1022.21,3.1,25.56,0
2022/1/1 17:00,6.68,337.06,37.22,1.75,0,0,0,-999,1022.42,0,0,0
2022/1/1 17:15,6.37,333.56,37.78,1.41,0,0,0,-999,1022.75,0,0,0
2022/1/1 17:30,6,327.14,39.07,1,0,0,0,-999,1023.13,0,0,0
2022/1/1 17:45,5.61,323.01,40.15,0.62,0,0,0,-999,1023.43,0,0,0
2022/1/1 18:00,5.26,322.16,41.05,0.31,0,0,0,-999,1023.67,0,0,0
2022/1/1 18:15,4.94,320.54,41.99,0.01,0,0,0,-999,1023.87,0,0,0
2022/1/1 18:30,4.63,318.6,42.86,-0.26,0,0,0,-999,1024.12,0,0,0
2022/1/1 18:45,4.33,316.54,43.47,-0.51,0,0,0,-999,1024.34,0,0,0
2022/1/1 19:00,4.06,315.49,43.5,-0.67,0,0,0,-999,1024.61,0,0,0
2022/1/1 19:15,3.84,315.17,42.83,-0.73,0,0,0,-999,1024.86,0,0,0
2022/1/1 19:30,3.67,314.75,41.92,-0.76,0,0,0,-999,1025.05,0,0,0
2022/1/1 19:45,3.53,313,40.96,-0.8,0,0,0,-999,1025.22,0,0,0
2022/1/1 20:00,3.44,310.31,40.04,-0.84,0,0,0,-999,1025.38,0,0,0
2022/1/1 20:15,3.39,307.59,39.19,-0.87,0,0,0,-999,1025.54,0,0,0
2022/1/1 20:30,3.35,304.64,38.41,-0.89,0,0,0,-999,1025.71,0,0,0
2022/1/1 20:45,3.31,302.25,37.6,-0.91,0,0,0,-999,1025.72,0,0,0
2022/1/1 21:00,3.26,302.38,36.63,-0.89,0,0,0,-999,1025.77,0,0,0
2022/1/1 21:15,3.19,303.87,35.95,-0.9,0,0,0,-999,1025.87,0,0,0
2022/1/1 21:30,3.09,303.99,35.47,-0.94,0,0,0,-999,1026.01,0,0,0
2022/1/1 21:45,2.96,304.41,34.87,-0.95,0,0,0,-999,1026.2,0,0,0
2022/1/1 22:00,2.79,305.85,34.22,-0.91,0,0,0,-999,1026.36,0,0,0
2022/1/1 22:15,2.62,309.1,33.46,-0.83,0,0,0,-999,1026.49,0,0,0
2022/1/1 22:30,2.48,315,32.63,-0.72,0,0,0,-999,1026.62,0,0,0
2022/1/1 22:45,2.38,325.8,31.9,-0.61,0,0,0,-999,1026.79,0,0,0
2022/1/1 23:00,2.33,342.92,31.18,-0.52,0,0,0,-999,1026.97,0,0,0
2022/1/1 23:15,2.35,3.21,30.63,-0.51,0,0,0,-999,1027.1,0,0,0
2022/1/1 23:30,2.41,18.93,30.42,-0.61,0,0,0,-999,1027.19,0,0,0
2022/1/1 23:45,2.51,28.96,30.84,-0.85,0,0,0,-999,1027.15,0,0,0
2022/1/2 0:00,5.08,51.48,40.52,-1.56,0,0,0,-999,1026.02,0,0,0
2022/1/2 0:15,5.08,51.48,40.52,-1.56,0,0,0,-999,1026.02,0,0,0
2022/1/2 0:30,4.8,53.12,40.55,-1.61,0,0,0,-999,1026.07,0,0,0
2022/1/2 0:45,4.46,55.88,40.51,-1.68,0,0,0,-999,1026.24,0,0,0
2022/1/2 1:00,4.08,59.28,40.31,-1.75,0,0,0,-999,1026.5,0,0,0
2022/1/2 1:15,3.69,64.52,40.13,-1.88,0,0,0,-999,1026.5,0,0,0
2022/1/2 1:30,3.31,73.84,39.97,-2.11,0,0,0,-999,1026.54,0,0,0
2022/1/2 1:45,2.96,83.3,39.62,-2.39,0,0,0,-999,1026.6,0,0,0
2022/1/2 2:00,2.64,87.05,39.18,-2.63,0,0,0,-999,1026.74,0,0,0
2022/1/2 2:15,2.35,85.03,39.85,-2.8,0,0,0,-999,1026.85,0,0,0
2022/1/2 2:30,2.09,82.04,40.71,-2.89,0,0,0,-999,1026.89,0,0,0
2022/1/2 2:45,1.83,79.03,41.64,-2.94,0,0,0,-999,1026.93,0,0,0
2022/1/2 3:00,1.6,81.48,42.52,-2.98,0,0,0,-999,1026.94,0,0,0
2022/1/2 3:15,1.39,87.75,43.12,-3.01,0,0,0,-999,1027.08,0,0,0
2022/1/2 3:30,1.22,100.01,43.69,-3.04,0,0,0,-999,1027.28,0,0,0
2022/1/2 3:45,1.1,124.74,44.43,-3.08,0,0,0,-999,1027.41,0,0,0
2022/1/2 4:00,1.06,149.45,45.31,-3.14,0,0,0,-999,1027.49,0,0,0
2022/1/2 4:15,1.09,175.77,46.19,-3.21,0,0,0,-999,1027.54,0,0,0
2022/1/2 4:30,1.19,206.75,47.17,-3.27,0,0,0,-999,1027.61,0,0,0
2022/1/2 4:45,1.34,228.65,48.12,-3.31,0,0,0,-999,1027.68,0,0,0
2022/1/2 5:00,1.51,238.48,48.87,-3.35,0,0,0,-999,1027.74,0,0,0
2022/1/2 5:15,1.68,242.45,49.21,-3.38,0,0,0,-999,1027.8,0,0,0
2022/1/2 5:30,1.83,243.44,49.07,-3.41,0,0,0,-999,1027.84,0,0,0
2022/1/2 5:45,1.96,241.84,48.61,-3.44,0,0,0,-999,1028.12,0,0,0
2022/1/2 6:00,2.06,239.39,48.36,-3.48,0,0,0,-999,1028.27,0,0,0.01
2022/1/2 6:15,2.15,235.55,48.61,-3.53,0,0,0,-999,1028.35,0,0,0.02
2022/1/2 6:30,2.22,230.19,49.33,-3.6,0,0,0,-999,1028.36,0,0,0.03
2022/1/2 6:45,2.28,224.21,50.07,-3.71,0,0,0,-999,1028.34,0,0,0.03
2022/1/2 7:00,2.33,220.93,50.5,-3.83,0,0,0,-999,1028.43,0,0,0.04
2022/1/2 7:15,2.37,220.39,49.93,-3.91,0,0,0,-999,1028.5,0,0,0.03
2022/1/2 7:30,2.39,220.75,49.34,-3.95,0,0,0,-999,1028.57,0,0,0.03
2022/1/2 7:45,2.39,221.69,49.09,-3.97,0,9.39,0,-999,1028.59,0.15,9.54,0.02
2022/1/2 8:00,2.39,223.44,48.8,-3.82,0,30.36,0,-999,1028.59,8.93,39.29,0.01
2022/1/2 8:15,2.39,224.9,48.73,-3.59,0,59.36,0,-999,1028.65,13.58,72.93,0.01
2022/1/2 8:30,2.42,226.47,47.91,-3.24,0,93.24,0,-999,1028.74,18.27,111.51,0.01
2022/1/2 8:45,2.48,228.38,45.72,-2.78,0,128.94,0,-999,1028.89,22.51,151.45,0.01
2022/1/2 9:00,2.58,231.19,41.14,-2.33,0,163.53,0,-999,1028.95,24.92,188.44,0.02
2022/1/2 9:15,2.72,232.98,39.07,-2.01,0,196.07,0,-999,1028.94,28.35,224.42,0.04
2022/1/2 9:30,2.88,233.25,38.29,-1.77,0,228.09,0,-999,1028.91,31.29,259.38,0.05
2022/1/2 9:45,3.05,234.51,36.86,-1.56,0,258.85,0,-999,1028.9,33.83,292.68,0.06
2022/1/2 10:00,3.21,233.75,35.64,-1.34,0,287.84,0,-999,1028.91,35.98,323.82,0.06
2022/1/2 10:15,3.36,229.63,33.86,-1.11,0,314.73,0,-999,1028.89,37.78,352.51,0.05
2022/1/2 10:30,3.5,226.55,32.77,-0.87,0,339.16,0,-999,1028.84,39.28,378.44,0.03
2022/1/2 10:45,3.62,224.28,31.62,-0.65,0,360.72,0,-999,1028.75,40.5,401.22,0.02
2022/1/2 11:00,3.72,223.83,30.76,-0.42,0,378.98,0,-999,1028.66,41.5,420.48,0.02
2022/1/2 11:15,3.81,223.89,29.9,-0.21,0,393.59,0,-999,1028.58,42.31,435.9,0.04
2022/1/2 11:30,3.89,223.1,29.04,-0.02,0,404.24,0,-999,1028.41,42.96,447.2,0.06
2022/1/2 11:45,3.96,222.28,28.7,0.13,0,410.7,0,-999,1027.62,43.48,454.18,0.09
2022/1/2 12:00,4.02,222.14,28.46,0.3,0,412.88,0,-999,1027.15,43.86,456.74,0.12
2022/1/2 12:15,4.07,222.17,28.27,0.49,0,410.77,0,-999,1026.81,44.13,454.9,0.15
2022/1/2 12:30,4.1,220.92,27.79,0.72,0,404.49,0,-999,1026.64,44.35,448.83,0.18
2022/1/2 12:45,4.13,219.17,27,0.95,0,394.2,0,-999,1026.41,44.6,438.8,0.21
2022/1/2 13:00,4.16,217.57,26.02,1.14,0,380.29,0,-999,1025.87,45.04,425.34,0.25
2022/1/2 13:15,4.2,215.86,25.21,1.28,0,358.62,0,-999,1025.34,50.32,408.95,0.29
2022/1/2 13:30,4.25,213.73,24.67,1.38,0,327.76,0,-999,1024.84,61.24,389.01,0.33
2022/1/2 13:45,4.29,210.93,24.31,1.47,0,288.46,0,-999,1024.53,77,365.46,0.38
2022/1/2 14:00,4.32,208.25,24.16,1.55,0,242.78,0,-999,1024.3,95.83,338.62,0.43
2022/1/2 14:15,4.33,206.68,24.01,1.59,0,193.75,0,-999,1023.94,115.29,309.04,0.48
2022/1/2 14:30,4.32,206.46,23.87,1.58,0,144.94,0,-999,1023.61,132.43,277.37,0.39
2022/1/2 14:45,4.26,206.86,24.25,1.5,0,99.93,0,-999,1023.71,144.67,244.59,0.33
2022/1/2 15:00,4.14,207.93,25.11,1.44,0,61.77,0,-999,1023.67,149.72,211.49,0.34
2022/1/2 15:15,3.97,209.38,26.17,1.35,0,32.57,0,-999,1023.62,146.35,178.92,0.34
2022/1/2 15:30,3.75,210.42,27.12,1.24,0,13.12,0,-999,1023.41,134.5,147.62,0.35
2022/1/2 15:45,3.51,210.95,28.4,1.03,0,0.06,0,-999,1023.23,111.08,111.14,0.38
2022/1/2 16:00,3.27,211.2,30.51,0.72,0,0,0,-999,1023.18,91.21,91.21,0.32
2022/1/2 16:15,3.03,210.82,32.74,0.36,0,0,0,-999,1023.14,61.15,61.15,0.3
2022/1/2 16:30,2.81,209.15,34.13,0,0,0,0,-999,1023.19,37.54,37.54,0.27
2022/1/2 16:45,2.63,207.98,34.79,-0.25,0,0,0,-999,1023.04,15.75,15.75,0.28
2022/1/2 17:00,2.49,207.22,35.12,-0.47,0,0,0,-999,1022.86,0,0,0.28
2022/1/2 17:15,2.4,206.34,34.91,-0.52,0,0,0,-999,1022.73,0,0,0.29
2022/1/2 17:30,2.34,204.33,34.55,-0.54,0,0,0,-999,1022.64,0,0,0.28
2022/1/2 17:45,2.3,201.12,34.34,-0.58,0,0,0,-999,1022.67,0,0,0.3
2022/1/2 18:00,2.24,198.47,34.53,-0.71,0,0,0,-999,1022.61,0,0,0.38
2022/1/2 18:15,2.16,198.37,35.25,-0.93,0,0,0,-999,1022.54,0,0,0.4
2022/1/2 18:30,2.07,201.26,36.52,-1.13,0,0,0,-999,1022.51,0,0,0.33
2022/1/2 18:45,1.95,205.62,38.36,-1.34,0,0,0,-999,1022.52,0,0,0.27
2022/1/2 19:00,1.83,209.71,40.34,-1.51,0,0,0,-999,1022.58,0,0,0.24
2022/1/2 19:15,1.71,213.34,42.13,-1.66,0,0,0,-999,1022.59,0,0,0.25
2022/1/2 19:30,1.61,215.25,43.65,-1.78,0,0,0,-999,1022.54,0,0,0.25
2022/1/2 19:45,1.54,218.68,44.91,-1.85,0,0,0,-999,1022.46,0,0,0.24
2022/1/2 20:00,1.52,221,46.16,-1.95,0,0,0,-999,1022.36,0,0,0.25
2022/1/2 20:15,1.55,218.59,47.35,-2.03,0,0,0,-999,1022.31,0,0,0.24
2022/1/2 20:30,1.61,212.27,48.69,-2.11,0,0,0,-999,1022.22,0,0,0.22
2022/1/2 20:45,1.69,208.25,49.88,-2.14,0,0,0,-999,1022.06,0,0,0.22
2022/1/2 21:00,1.77,205.93,50.92,-2.17,0,0,0,-999,1021.92,0,0,0.22
2022/1/2 21:15,1.84,205.75,51.49,-2.13,0,0,0,-999,1021.77,0,0,0.22
2022/1/2 21:30,1.89,205.68,51.74,-2.09,0,0,0,-999,1021.68,0,0,0.23
2022/1/2 21:45,1.91,205.03,51.87,-2.07,0,0,0,-999,1021.6,0,0,0.24
2022/1/2 22:00,1.92,204.06,51.9,-2.07,0,0,0,-999,1021.49,0,0,0.25
2022/1/2 22:15,1.91,203.11,51.88,-2.05,0,0,0,-999,1021.37,0,0,0.25
2022/1/2 22:30,1.88,202.38,52.03,-2.04,0,0,0,-999,1021.25,0,0,0.25
2022/1/2 22:45,1.85,202.27,52.31,-2.04,0,0,0,-999,1021.16,0,0,0.26
2022/1/2 23:00,1.82,202.9,52.66,-2.05,0,0,0,-999,1021.1,0,0,0.27
2022/1/2 23:15,1.77,204.84,53.01,-2.07,0,0,0,-999,1021.03,0,0,0.27
2022/1/2 23:30,1.72,206.99,53.32,-2.08,0,0,0,-999,1020.95,0,0,0.28
2022/1/2 23:45,1.65,208.53,53.62,-2.09,0,0,0,-999,1020.77,0,0,0.27
2022/1/3 0:00,1.3,180.64,47.24,-2.71,0,0,0,-999,1019.88,0,0,0.23
2022/1/3 0:15,1.3,180.64,47.24,-2.71,0,0,0,-999,1019.88,0,0,0.23
2022/1/3 0:30,1.22,180.93,46.97,-2.71,0,0,0,-999,1019.7,0,0,0.26
2022/1/3 0:45,1.14,181.4,47.38,-2.75,0,0,0,-999,1019.6,0,0,0.33
2022/1/3 1:00,1.07,184.8,48.19,-2.87,0,0,0,-999,1019.59,0,0,0.34
2022/1/3 1:15,1.03,183.45,48.56,-2.94,0,0,0,-999,1019.62,0,0,0.3
2022/1/3 1:30,1.01,148.67,48.84,-2.96,0,0,0,-999,1019.6,0,0,0.23
2022/1/3 1:45,1.03,85.73,49.26,-3.03,0,0,0,-999,1019.51,0,0,0.18
2022/1/3 2:00,1.07,71.02,50.13,-3.11,0,0,0,-999,1019.43,0,0,0.1
2022/1/3 2:15,1.12,69.41,50.87,-3.18,0,0,0,-999,1019.41,0,0,0.03
2022/1/3 2:30,1.17,73.09,51.4,-3.22,0,0,0,-999,1019.35,0,0,0
2022/1/3 2:45,1.2,77.65,51.76,-3.26,0,0,0,-999,1019.41,0,0,0.02
2022/1/3 3:00,1.2,81.24,52.11,-3.3,0,0,0,-999,1019.36,0,0,0.06
2022/1/3 3:15,1.18,82.76,52.5,-3.33,0,0,0,-999,1019.32,0,0,0.12
2022/1/3 3:30,1.14,81.73,52.88,-3.36,0,0,0,-999,1019.32,0,0,0.18
2022/1/3 3:45,1.12,75.6,53.23,-3.39,0,0,0,-999,1019.29,0,0,0.16
2022/1/3 4:00,1.12,64.44,53.49,-3.39,0,0,0,-999,1019.33,0,0,0.1
2022/1/3 4:15,1.16,51.64,53.66,-3.39,0,0,0,-999,1019.3,0,0,0.08
2022/1/3 4:30,1.22,43.74,53.69,-3.36,0,0,0,-999,1019.28,0,0,0.09
2022/1/3 4:45,1.31,39.2,53.67,-3.34,0,0,0,-999,1019.26,0,0,0.1
2022/1/3 5:00,1.42,35.93,53.68,-3.31,0,0,0,-999,1019.24,0,0,0.1
2022/1/3 5:15,1.53,33.97,53.72,-3.29,0,0,0,-999,1019.28,0,0,0.08
2022/1/3 5:30,1.64,32.46,53.78,-3.28,0,0,0,-999,1019.34,0,0,0.06
2022/1/3 5:45,1.73,32.55,53.81,-3.28,0,0,0,-999,1019.58,0,0,0.03
2022/1/3 6:00,1.79,34.99,53.4,-3.27,0,0,0,-999,1019.72,0,0,0.01
2022/1/3 6:15,1.84,39.9,52.65,-3.25,0,0,0,-999,1019.77,0,0,0
2022/1/3 6:30,1.87,44.84,52.16,-3.25,0,0,0,-999,1019.79,0,0,0
2022/1/3 6:45,1.88,47.23,52.14,-3.26,0,0,0,-999,1019.81,0,0,0
2022/1/3 7:00,1.88,46.84,52.21,-3.26,0,0,0,-999,1019.94,0,0,0
2022/1/3 7:15,1.87,46.93,51.92,-3.28,0,0,0,-999,1020.06,0,0,0
2022/1/3 7:30,1.87,44.44,50.96,-3.29,0,0,0,-999,1020.18,0,0,0
2022/1/3 7:45,1.89,44.18,49.34,-3.27,0,9.22,0,-999,1020.22,0.17,9.38,0
2022/1/3 8:00,1.94,46.05,47.22,-3.07,0,30.31,0,-999,1020.23,5.21,35.52,0
2022/1/3 8:15,2.02,45.13,46.1,-2.85,0,59.5,0,-999,1020.33,11.49,70.99,0
2022/1/3 8:30,2.11,42.1,45.02,-2.53,0,93.69,0,-999,1020.48,16.97,110.66,0
2022/1/3 8:45,2.21,42.73,42.53,-2.11,0,129.82,0,-999,1020.71,21.51,151.32,0
2022/1/3 9:00,2.28,46.41,39.78,-1.79,0,165.54,0,-999,1020.86,23.53,189.07,0
2022/1/3 9:15,2.34,50.63,38.7,-1.49,0,198.79,0,-999,1020.97,27.02,225.81,0
2022/1/3 9:30,2.36,52.14,37.52,-1.23,0,231.54,0,-999,1021.08,30.05,261.59,0
2022/1/3 9:45,2.35,53.17,37.52,-0.94,0,263,0,-999,1021.19,32.64,295.64,0
2022/1/3 10:00,2.3,53.89,36.93,-0.6,0,292.6,0,-999,1021.38,34.85,327.45,0
2022/1/3 10:15,2.23,56.9,34.96,-0.27,0,319.97,0,-999,1021.54,36.75,356.71,0
2022/1/3 10:30,2.13,60.66,33.33,0.03,0,344.81,0,-999,1021.67,38.37,383.18,0
2022/1/3 10:45,2.04,65.59,32.65,0.32,0,366.9,0,-999,1021.78,39.74,406.64,0
2022/1/3 11:00,1.96,71.04,32.32,0.61,0,386.06,0,-999,1021.86,40.89,426.95,0
2022/1/3 11:15,1.89,76.77,32.09,0.89,0,402.15,0,-999,1021.96,41.82,443.97,0
2022/1/3 11:30,1.83,82.57,31.73,1.16,0,415.06,0,-999,1022,42.55,457.61,0
2022/1/3 11:45,1.78,86.67,30.57,1.37,0,424.69,0,-999,1021.57,43.09,467.78,0
2022/1/3 12:00,1.73,86.96,29.23,1.6,0,431,0,-999,1021.39,43.43,474.43,0
2022/1/3 12:15,1.68,88.28,29.03,1.83,0,433.94,0,-999,1021.3,43.59,477.53,0
2022/1/3 12:30,1.63,87.67,28.61,2.05,0,433.49,0,-999,1021.36,43.56,477.05,0
2022/1/3 12:45,1.57,86.85,28.56,2.24,0,429.65,0,-999,1021.39,43.35,473,0
2022/1/3 13:00,1.51,87.71,28.75,2.38,0,422.47,0,-999,1021.2,42.94,465.41,0
2022/1/3 13:15,1.46,88.27,29.02,2.49,0,411.97,0,-999,1021.03,42.35,454.33,0
2022/1/3 13:30,1.41,89.5,29.35,2.59,0,398.25,0,-999,1020.89,41.57,439.81,0
2022/1/3 13:45,1.36,90.36,29.63,2.68,0,381.38,0,-999,1020.89,40.58,421.96,0
2022/1/3 14:00,1.32,90.2,29.94,2.76,0,361.51,0,-999,1020.93,39.38,400.89,0
2022/1/3 14:15,1.28,91.5,30.22,2.81,0,338.77,0,-999,1020.85,37.95,376.72,0
2022/1/3 14:30,1.24,91.42,30.52,2.85,0,313.35,0,-999,1020.76,36.28,349.63,0
2022/1/3 14:45,1.18,90.52,30.73,2.89,0,285.5,0,-999,1021.03,34.32,319.82,0
2022/1/3 15:00,1.1,95.83,31.44,2.93,0,255.5,0,-999,1021.15,32.04,287.54,0
2022/1/3 15:15,1.02,97.99,33.16,3,0,223.75,0,-999,1021.29,29.37,253.12,0
2022/1/3 15:30,0.91,100.49,33.99,2.9,0,190.88,0,-999,1021.27,26.24,217.12,0
2022/1/3 15:45,0.8,101.79,33.42,2.73,0,157.78,0,-999,1021.22,24.49,182.27,0
2022/1/3 16:00,0.69,99.66,32.43,2.66,0,121.32,0,-999,1021.29,20.54,141.86,0
2022/1/3 16:15,0.6,101.23,31.92,2.52,0,85.44,0,-999,1021.42,15.79,101.23,0
2022/1/3 16:30,0.56,115.63,31.66,2.35,0,52.04,0,-999,1021.56,10.07,62.11,0
